Code,Year,Name,Add_1,Add_2,Kind,Staple_food,Dong_name,Number
3150000,2002,찰떡등심,"서울특별시 강서구 까치산로 172, 1층 (화곡동, 6동)",서울특별시 강서구 화곡동  1131번지 20호  외 2필지 (지상 1층),한식,"소,등심",화곡제6동,226061771
3150000,2013,무교동골목낙지,"서울특별시 강서구 까치산로 193-11, 1층 (화곡동, 6동)",서울특별시 강서구 화곡동  1114번지 26호  (지상 1층),한식,낙지볶음,화곡제6동,226088857
3150000,2002,충무호동복,"서울특별시 강서구 화곡로53길 10, 1~2층 (화곡동, 6동)",서울특별시 강서구 화곡동  997번지 11호  (지상 1~2층),복어취급,복죽,화곡제6동,226916300
3150000,2004,주식회사 명가원설농탕,"서울특별시 강서구 강서로 195, 1층 (화곡동, 3동)",서울특별시 강서구 화곡동  1032번지 19호  외 1필지 (지상 1층),한식,설농탕,화곡제3동,226930055
3150000,2002,어촌,"서울특별시 강서구 까치산로 64, 1층 (화곡동, 본동)",서울특별시 강서구 화곡동  24번지 190호  (지상 1층),한식,생선구이,화곡본동,226020085
3150000,2005,피기피기,"서울특별시 강서구 까치산로 29, 1층 (화곡동, 본동)",서울특별시 강서구 화곡동  98번지 150호  (지상 1층),한식,삼겹살,화곡본동,226056011
3150000,2013,송하원(발산역점),"서울특별시 강서구 공항대로 290, 1층 103,104호 (내발산동, 우장산동 순봉빌딩)",서울특별시 강서구 내발산동  646번지 1호  ,한식,누룽지닭백숙,우장산동,226652999
3150000,2007,서초면옥,"서울특별시 강서구 양천로 75, 1층 (방화동, 1동)",서울특별시 강서구 방화동  450번지 1호  (지상 1층),한식,회냉면,방화제1동,226611423
3150000,2016,쿠우쿠우 발산점,"서울특별시 강서구 마곡중앙6로 93, 9층 901~906호 (마곡동, 가양 1동 열린프라자)",서울특별시 강서구 마곡동  795번지 7호  열린프라자 (지상 9층) 901~906호,일식,뷔페,가양제1동,236611357
3150000,2002,미스터피자 & SICTAC 발산점,"서울특별시 강서구 강서로 281, 1층 (내발산동, 1동)",서울특별시 강서구 내발산동  701번지 14호  (지상 1층),패스트푸드,포테이토피자,발산제1동,226651067
3150000,2012,명가원설농탕,"서울특별시 강서구 화곡로 283, 1~2층 (화곡동, 6동)",서울특별시 강서구 화곡동  986번지 6호  (지상 1~2층),한식,설렁탕,화곡제6동,226963344
